# Total structure factor for atom types: 
# { C(1) }in system.
# k-values       S(k)  
3.490658503988659e+00       1.152944252875945e+00
6.981317007977318e+00       9.865963473290008e-01
1.047197551196598e+01       1.043005389175903e+00
1.396263401595464e+01       1.043889576107793e+00
1.745329251994330e+01       1.010712790517562e+00
2.094395102393196e+01       1.021237868942461e+00
2.443460952792061e+01       1.022360414235501e+00
2.792526803190927e+01       1.038232545873835e+00
3.141592653589793e+01       9.946383024197034e-01
3.490658503988659e+01       9.986859498299772e-01
3.839724354387525e+01       1.010048638031386e+00
4.188790204786391e+01       9.941056191229628e-01
4.537856055185257e+01       9.952130413168645e-01
4.886921905584123e+01       1.000805690549012e+00
5.235987755982988e+01       1.003556188965110e+00
5.585053606381855e+01       9.748568150794649e-01
5.934119456780721e+01       9.925078647314290e-01
6.283185307179586e+01       1.005065856751405e+00
6.632251157578452e+01       9.957549808656073e-01
6.981317007977319e+01       1.000203661764705e+00
7.330382858376184e+01       1.005567593906875e+00
7.679448708775050e+01       9.995657699726102e-01
8.028514559173915e+01       9.861004404052162e-01
8.377580409572782e+01       9.897374008566309e-01
8.726646259971648e+01       1.005032745626094e+00
9.075712110370513e+01       1.007263002512648e+00
9.424777960769380e+01       9.990198160527638e-01
9.773843811168246e+01       1.003626966420005e+00
1.012290966156711e+02       1.006112973558552e+00
1.047197551196598e+02       1.005097080804642e+00
1.082104136236484e+02       9.993924519835802e-01
1.117010721276371e+02       1.027317720514736e+00
1.151917306316257e+02       9.972697490033409e-01
1.186823891356144e+02       9.927343068855743e-01
1.221730476396031e+02       1.001329822125579e+00
1.256637061435917e+02       9.972362321421997e-01
1.291543646475804e+02       1.000020000245743e+00
1.326450231515690e+02       9.946083473155123e-01
1.361356816555577e+02       1.001921914892909e+00
1.396263401595464e+02       9.955599717079376e-01
1.431169986635350e+02       1.001228930374981e+00
1.466076571675237e+02       9.970596259729700e-01
1.500983156715124e+02       1.000066747962864e+00
1.535889741755010e+02       9.999483456555843e-01
1.570796326794897e+02       9.985502999254515e-01
1.605702911834783e+02       9.986635643367381e-01
1.640609496874670e+02       9.969191446243831e-01
1.675516081914556e+02       9.900733154204364e-01
1.710422666954443e+02       1.003488171276973e+00
1.745329251994330e+02       9.979305122648127e-01
1.780235837034216e+02       9.993860742106845e-01
1.815142422074103e+02       9.989658529026628e-01
1.850049007113989e+02       9.961778623468611e-01
1.884955592153876e+02       9.988245291370148e-01
1.919862177193762e+02       1.002662327960214e+00
1.954768762233649e+02       9.955766912768976e-01
1.989675347273536e+02       1.002224623866679e+00
2.024581932313422e+02       9.959506226171030e-01
2.059488517353309e+02       1.003116639389375e+00
2.094395102393195e+02       1.000266280458866e+00
2.129301687433082e+02       9.974556891882126e-01
2.164208272472969e+02       9.886039961526597e-01
2.199114857512855e+02       1.001681369040438e+00
2.234021442552742e+02       1.005645424199137e+00
2.268928027592628e+02       9.942185187082190e-01
2.303834612632515e+02       9.995508422833999e-01
2.338741197672402e+02       9.964482602969731e-01
2.373647782712288e+02       9.981454818182258e-01
2.408554367752175e+02       9.986613808358914e-01
2.443460952792061e+02       9.995953842672749e-01
2.478367537831948e+02       1.000685518478391e+00
2.513274122871834e+02       1.005660413371955e+00
2.548180707911721e+02       1.003060674692601e+00
2.583087292951608e+02       9.977174800950200e-01
2.617993877991494e+02       1.000683764936200e+00
2.652900463031381e+02       1.006447926733365e+00
2.687807048071268e+02       1.002518318015824e+00
2.722713633111154e+02       1.000055511669541e+00
2.757620218151040e+02       9.985254521301566e-01
2.792526803190927e+02       9.996053890878053e-01
2.827433388230814e+02       9.991987947903526e-01
2.862339973270700e+02       1.001988965268735e+00
2.897246558310587e+02       9.981323314432873e-01
2.932153143350474e+02       9.986004548105157e-01
2.967059728390360e+02       1.002030524463538e+00
3.001966313430247e+02       1.003524156202826e+00
3.036872898470133e+02       9.981879075367339e-01
3.071779483510020e+02       9.928794291401172e-01
3.106686068549907e+02       1.002704627399881e+00
3.141592653589793e+02       1.004094741333909e+00
3.176499238629680e+02       9.999381212942465e-01
3.211405823669566e+02       1.000404587961055e+00
3.246312408709453e+02       1.000769820897086e+00
3.281218993749339e+02       1.003836352026009e+00
3.316125578789226e+02       1.001034653531481e+00
3.351032163829113e+02       1.006147165908305e+00
3.385938748868999e+02       9.988928471517681e-01
3.420845333908886e+02       9.973894897740034e-01
3.455751918948773e+02       9.982660868479805e-01
3.490658503988659e+02       1.007533466965601e+00
